Time	I_src_A	I_src_B	I_src_C
4.03635  	12.6817	-0.185372	-0.492909
4.0364  	12.8867	-0.177768	-0.496312
4.03645  	13.0884	-0.170115	-0.499589
4.0365  	13.2867	-0.162454	-0.502775
4.03655  	13.4818	-0.154703	-0.505788
4.0366  	13.6734	-0.146961	-0.508723
4.03665  	13.8615	-0.139157	-0.511506
4.0367  	14.0463	-0.131313	-0.514158
4.03675  	14.2274	-0.12347	-0.516717
4.0368  	14.4049	-0.115548	-0.5191
4.03685  	14.5789	-0.107642	-0.521399
4.0369  	14.7491	-0.0996865	-0.523546
4.03695  	14.9157	-0.0916991	-0.525557
4.037  	15.0784	-0.0837234	-0.527472
4.03705  	15.2375	-0.0756788	-0.52921
4.0371  	15.3926	-0.0676586	-0.530859
4.03715  	15.5439	-0.0596004	-0.532357
4.0372  	15.6913	-0.0515187	-0.533714
4.03725  	15.8347	-0.0434594	-0.534974
4.0373  	15.9742	-0.0353417	-0.536055
4.03735  	16.1097	-0.0272567	-0.537045
4.0374  	16.2411	-0.0191456	-0.537884
4.03745  	16.3685	-0.0110195	-0.538579
4.0375  	16.4917	-0.00292628	-0.539177
4.03755  	16.6108	0.00521464	-0.539595
4.0376  	16.7257	0.0133145	-0.539919
4.03765  	16.8364	0.0214284	-0.540093
4.0377  	16.943	0.0295489	-0.540122
4.03775  	17.0452	0.037626	-0.540054
4.0378  	17.1432	0.0457401	-0.539806
4.03785  	17.2369	0.0538047	-0.539463
4.0379  	17.3263	0.0618715	-0.538972
4.03795  	17.4114	0.0699364	-0.538334
4.038  	17.492	0.0779474	-0.5376
4.03805  	17.5683	0.0859848	-0.536688
4.0381  	17.6402	0.0939644	-0.53568
4.03815  	17.7077	0.101934	-0.534526
4.0382  	17.7708	0.109894	-0.533226
4.03825  	17.8293	0.117789	-0.531831
4.0383  	17.8835	0.125701	-0.53026
4.03835  	17.9332	0.133546	-0.528593
4.0384  	17.9783	0.14137	-0.526784
4.03845  	18.019	0.149175	-0.524829
4.0385  	18.0552	0.156906	-0.522782
4.03855  	18.0869	0.164642	-0.520562
4.0386  	18.114	0.172305	-0.518246
4.03865  	18.1366	0.179935	-0.515793
4.0387  	18.1547	0.187537	-0.513195
4.03875  	18.1682	0.195057	-0.510509
4.0388  	18.1772	0.20257	-0.507653
4.03885  	18.1817	0.210003	-0.504703
4.0389  	18.1815	0.217391	-0.501621
4.03895  	18.1769	0.224745	-0.498397
4.039  	18.1677	0.232005	-0.495087
4.03905  	18.154	0.239251	-0.491613
4.0391  	18.1358	0.246407	-0.488047
4.03915  	18.1129	0.253509	-0.484355
4.0392  	18.0857	0.260568	-0.480524
4.03925  	18.0538	0.267525	-0.476612
4.0393  	18.0175	0.274457	-0.472541
4.03935  	17.9766	0.281293	-0.468382
4.0394  	17.9313	0.288064	-0.464102
4.03945  	17.8815	0.294785	-0.459688
4.0395  	17.8271	0.301396	-0.455197
4.03955  	17.7684	0.307972	-0.450555
4.0396  	17.7053	0.314445	-0.445827
4.03965  	17.6376	0.320845	-0.440987
4.0397  	17.5657	0.327186	-0.436016
4.03975  	17.4892	0.333409	-0.430975
4.0398  	17.4085	0.339589	-0.425789
4.03985  	17.3234	0.34566	-0.420523
