Time	I_src_A	I_src_B	I_src_C
1.90635	-0.405999	0.049231	0.356768
1.9064	-0.40316	0.0423077	0.360852
1.90645	-0.400221	0.0353739	0.364847
1.9065	-0.397184	0.0284314	0.368752
1.90655	-0.394049	0.0214819	0.372567
1.9066	-0.390816	0.0145271	0.376289
1.90665	-0.387487	0.00756877	0.379918
1.9067	-0.384063	0.000608522	0.383454
1.90675	-0.380544	-0.00635188	0.386895
1.9068	-0.37693	-0.0133107	0.390241
1.90685	-0.373224	-0.0202663	0.39349
1.9069	-0.369426	-0.0272168	0.396643
1.90695	-0.365537	-0.0341606	0.399697
1.907	-0.361557	-0.041096	0.402653
1.90705	-0.357488	-0.0480213	0.405509
1.9071	-0.353331	-0.0549347	0.408266
1.90715	-0.349087	-0.0618346	0.410921
1.9072	-0.344757	-0.0687192	0.413476
1.90725	-0.340341	-0.0755868	0.415928
1.9073	-0.335842	-0.0824358	0.418278
1.90735	-0.33126	-0.0892645	0.420524
1.9074	-0.326596	-0.0960711	0.422667
1.90745	-0.321851	-0.102854	0.424705
1.9075	-0.317027	-0.109612	0.426639
1.90755	-0.312125	-0.116342	0.428467
1.9076	-0.307146	-0.123044	0.43019
1.90765	-0.302091	-0.129715	0.431806
1.9077	-0.296962	-0.136355	0.433316
1.90775	-0.291759	-0.142961	0.434719
1.9078	-0.286484	-0.149531	0.436015
1.90785	-0.281139	-0.156065	0.437203
1.9079	-0.275724	-0.16256	0.438283
1.90795	-0.270241	-0.169015	0.439256
1.908	-0.264691	-0.175428	0.440119
1.90805	-0.259077	-0.181798	0.440875
1.9081	-0.253398	-0.188123	0.441521
1.90815	-0.247657	-0.194402	0.442059
1.9082	-0.241854	-0.200633	0.442487
1.90825	-0.235992	-0.206814	0.442806
1.9083	-0.230072	-0.212944	0.443016
1.90835	-0.224095	-0.219022	0.443117
1.9084	-0.218062	-0.225046	0.443108
1.90845	-0.211976	-0.231014	0.44299
1.9085	-0.205838	-0.236925	0.442763
1.90855	-0.199649	-0.242778	0.442426
1.9086	-0.19341	-0.248571	0.441981
1.90865	-0.187124	-0.254302	0.441426
1.9087	-0.180792	-0.259971	0.440762
1.90875	-0.174415	-0.265575	0.43999
1.9088	-0.167995	-0.271114	0.439109
1.90885	-0.161533	-0.276586	0.438119
1.9089	-0.155032	-0.28199	0.437022
1.90895	-0.148492	-0.287325	0.435817
1.909	-0.141916	-0.292588	0.434504
1.90905	-0.135305	-0.297779	0.433084
1.9091	-0.12866	-0.302897	0.431557
1.90915	-0.121984	-0.30794	0.429924
1.9092	-0.115277	-0.312907	0.428184
1.90925	-0.108542	-0.317797	0.426339
1.9093	-0.101781	-0.322608	0.424389
1.90935	-0.0949939	-0.32734	0.422334
1.9094	-0.0881837	-0.331991	0.420175
1.90945	-0.0813517	-0.336561	0.417912
1.9095	-0.0744996	-0.341047	0.415546
1.90955	-0.0676292	-0.345449	0.413078
1.9096	-0.060742	-0.349765	0.410507
1.90965	-0.0538399	-0.353996	0.407836
1.9097	-0.0469245	-0.358139	0.405063
1.90975	-0.0399975	-0.362194	0.402191
1.9098	-0.0330607	-0.366159	0.39922
1.90985	-0.0261156	-0.370034	0.39615
1.9099	-0.0191642	-0.373818	0.392982
1.90995	-0.012208	-0.377509	0.389717
1.91	-0.00524881	-0.381107	0.386356
1.91005	0.00171168	-0.384612	0.3829
1.9101	0.00867174	-0.388021	0.379349
1.91015	0.0156297	-0.391335	0.375705
1.9102	0.0225837	-0.394552	0.371968
1.91025	0.0295322	-0.397672	0.36814
1.9103	0.0364735	-0.400693	0.36422
1.91035	0.0434057	-0.403616	0.360211
1.9104	0.0503272	-0.406439	0.356112
1.91045	0.0572363	-0.409162	0.351926
1.9105	0.0641312	-0.411784	0.347653
1.91055	0.0710104	-0.414305	0.343294
1.9106	0.077872	-0.416723	0.338851
1.91065	0.0847144	-0.419038	0.334324
1.9107	0.0915359	-0.42125	0.329714
1.91075	0.0983348	-0.423358	0.325023
1.9108	0.105109	-0.425361	0.320252
1.91085	0.111858	-0.42726	0.315402
1.9109	0.118579	-0.429053	0.310474
1.91095	0.125271	-0.43074	0.305469
1.911	0.131932	-0.432321	0.300389
1.91105	0.138561	-0.433796	0.295235
1.9111	0.145155	-0.435163	0.290008
1.91115	0.151713	-0.436423	0.28471
1.9112	0.158234	-0.437575	0.279341
1.91125	0.164716	-0.43862	0.273904
1.9113	0.171157	-0.439556	0.268398
1.91135	0.177556	-0.440383	0.262827
1.9114	0.183912	-0.441102	0.257191
1.91145	0.190221	-0.441712	0.251491
1.9115	0.196484	-0.442213	0.245729
1.91155	0.202699	-0.442606	0.239907
1.9116	0.208863	-0.442888	0.234025
1.91165	0.214976	-0.443062	0.228086
1.9117	0.221036	-0.443126	0.22209
1.91175	0.227041	-0.443081	0.21604
1.9118	0.232991	-0.442927	0.209936
1.91185	0.238883	-0.442663	0.20378
1.9119	0.244715	-0.44229	0.197575
1.91195	0.250488	-0.441808	0.19132
1.912	0.256199	-0.441217	0.185018
1.91205	0.261846	-0.440517	0.178671
1.9121	0.267429	-0.439708	0.172279
1.91215	0.272946	-0.438791	0.165845
1.9122	0.278395	-0.437766	0.15937
1.91225	0.283776	-0.436632	0.152856
1.9123	0.289087	-0.435391	0.146304
1.91235	0.294327	-0.434043	0.139716
1.9124	0.299494	-0.432587	0.133093
1.91245	0.304587	-0.431025	0.126438
1.9125	0.309604	-0.429356	0.119751
1.91255	0.314546	-0.427581	0.113035
1.9126	0.31941	-0.425701	0.106291
1.91265	0.324195	-0.423716	0.0995211
1.9127	0.3289	-0.421626	0.0927263
1.91275	0.333524	-0.419432	0.0859086
1.9128	0.338065	-0.417135	0.0790698
1.91285	0.342523	-0.414735	0.0722114
1.9129	0.346897	-0.412232	0.0653352
1.91295	0.351185	-0.409628	0.0584429
1.913	0.355387	-0.406923	0.0515361
1.91305	0.3595	-0.404117	0.0446167
1.9131	0.363525	-0.401212	0.0376862
1.91315	0.367461	-0.398207	0.0307465
1.9132	0.371305	-0.395105	0.0237991
1.91325	0.375059	-0.391904	0.0168459
1.9133	0.378719	-0.388608	0.00988852
1.91335	0.382286	-0.385215	0.00292871
1.9134	0.385759	-0.381727	-0.00403183
1.91345	0.389137	-0.378145	-0.0109914
1.9135	0.392418	-0.37447	-0.0179482
1.91355	0.395603	-0.370702	-0.0249006
1.9136	0.39869	-0.366843	-0.0318469
1.91365	0.401679	-0.362893	-0.0387853
1.9137	0.404568	-0.358854	-0.0457141
1.91375	0.407358	-0.354727	-0.0526317
1.9138	0.410048	-0.350511	-0.0595362
1.91385	0.412636	-0.34621	-0.0664261
1.9139	0.415122	-0.341822	-0.0732996
1.91395	0.417506	-0.337351	-0.080155
1.914	0.419787	-0.332796	-0.0869906
1.91405	0.421964	-0.328159	-0.0938048
1.9141	0.424037	-0.323442	-0.100596
1.91415	0.426006	-0.318644	-0.107362
1.9142	0.42787	-0.313768	-0.114102
1.91425	0.429627	-0.308814	-0.120813
1.9143	0.431279	-0.303784	-0.127495
1.91435	0.432825	-0.298679	-0.134145
1.9144	0.434264	-0.293501	-0.140762
1.91445	0.435595	-0.28825	-0.147345
1.9145	0.436819	-0.282928	-0.153891
1.91455	0.437935	-0.277536	-0.160399
1.9146	0.438944	-0.272076	-0.166868
1.91465	0.439844	-0.266548	-0.173295
1.9147	0.440635	-0.260955	-0.17968
1.91475	0.441318	-0.255298	-0.18602
1.9148	0.441892	-0.249577	-0.192314
1.91485	0.442356	-0.243795	-0.198561
1.9149	0.442712	-0.237953	-0.204759
1.91495	0.442958	-0.232052	-0.210907
1.915	0.443096	-0.226093	-0.217002
1.91505	0.443123	-0.220079	-0.223044
1.9151	0.443042	-0.214011	-0.229031
1.91515	0.442851	-0.20789	-0.234961
1.9152	0.442551	-0.201717	-0.240833
1.91525	0.442141	-0.195495	-0.246646
1.9153	0.441623	-0.189225	-0.252398
1.91535	0.440996	-0.182907	-0.258088
1.9154	0.440259	-0.176545	-0.263714
1.91545	0.439415	-0.170139	-0.269275
1.9155	0.438461	-0.163691	-0.27477
1.91555	0.4374	-0.157203	-0.280197
1.9156	0.436231	-0.150676	-0.285554
1.91565	0.434954	-0.144112	-0.290842
1.9157	0.433569	-0.137512	-0.296057
1.91575	0.432078	-0.130879	-0.301199
1.9158	0.43048	-0.124213	-0.306267
1.91585	0.428776	-0.117516	-0.31126
1.9159	0.426966	-0.11079	-0.316176
1.91595	0.425051	-0.104037	-0.321013
1.916	0.423031	-0.0972588	-0.325772
1.91605	0.420906	-0.0904562	-0.33045
1.9161	0.418678	-0.0836313	-0.335047
1.91615	0.416346	-0.0767857	-0.339561
1.9162	0.413912	-0.0699212	-0.343991
1.91625	0.411376	-0.0630395	-0.348336
1.9163	0.408738	-0.0561422	-0.352595
1.91635	0.405999	-0.049231	-0.356768
1.9164	0.40316	-0.0423077	-0.360852
1.91645	0.400221	-0.0353739	-0.364847
1.9165	0.397184	-0.0284314	-0.368752
1.91655	0.394049	-0.0214819	-0.372567
1.9166	0.390816	-0.0145271	-0.376289
1.91665	0.387487	-0.00756877	-0.379918
1.9167	0.384063	-0.000608522	-0.383454
1.91675	0.380544	0.00635188	-0.386895
1.9168	0.37693	0.0133107	-0.390241
1.91685	0.373224	0.0202663	-0.39349
1.9169	0.369426	0.0272168	-0.396643
1.91695	0.365537	0.0341606	-0.399697
1.917	0.361557	0.041096	-0.402653
1.91705	0.357488	0.0480213	-0.405509
1.9171	0.353331	0.0549347	-0.408266
1.91715	0.349087	0.0618346	-0.410921
1.9172	0.344757	0.0687192	-0.413476
1.91725	0.340341	0.0755868	-0.415928
1.9173	0.335842	0.0824358	-0.418278
1.91735	0.33126	0.0892645	-0.420524
1.9174	0.326596	0.0960711	-0.422667
1.91745	0.321851	0.102854	-0.424705
1.9175	0.317027	0.109612	-0.426639
1.91755	0.312125	0.116342	-0.428467
1.9176	0.307146	0.123044	-0.43019
1.91765	0.302091	0.129715	-0.431806
1.9177	0.296962	0.136355	-0.433316
1.91775	0.291759	0.142961	-0.434719
1.9178	0.286484	0.149531	-0.436015
1.91785	0.281139	0.156065	-0.437203
1.9179	0.275724	0.16256	-0.438283
1.91795	0.270241	0.169015	-0.439256
1.918	0.264691	0.175428	-0.440119
1.91805	0.259077	0.181798	-0.440875
1.9181	0.253398	0.188123	-0.441521
1.91815	0.247657	0.194402	-0.442059
1.9182	0.241854	0.200633	-0.442487
1.91825	0.235992	0.206814	-0.442806
1.9183	0.230072	0.212944	-0.443016
1.91835	0.224095	0.219022	-0.443117
1.9184	0.218062	0.225046	-0.443108
1.91845	0.211976	0.231014	-0.44299
1.9185	0.205838	0.236925	-0.442763
1.91855	0.199649	0.242778	-0.442426
1.9186	0.19341	0.248571	-0.441981
1.91865	0.187124	0.254302	-0.441426
1.9187	0.180792	0.259971	-0.440762
1.91875	0.174415	0.265575	-0.43999
1.9188	0.167995	0.271114	-0.439109
1.91885	0.161533	0.276586	-0.438119
1.9189	0.155032	0.28199	-0.437022
1.91895	0.148492	0.287325	-0.435817
1.919	0.141916	0.292588	-0.434504
1.91905	0.135305	0.297779	-0.433084
1.9191	0.12866	0.302897	-0.431557
1.91915	0.121984	0.30794	-0.429924
1.9192	0.115277	0.312907	-0.428184
1.91925	0.108542	0.317797	-0.426339
1.9193	0.101781	0.322608	-0.424389
1.91935	0.0949939	0.32734	-0.422334
1.9194	0.0881837	0.331991	-0.420175
1.91945	0.0813517	0.336561	-0.417912
1.9195	0.0744996	0.341047	-0.415546
1.91955	0.0676292	0.345449	-0.413078
1.9196	0.060742	0.349765	-0.410507
1.91965	0.0538399	0.353996	-0.407836
1.9197	0.0469245	0.358139	-0.405063
1.91975	0.0399975	0.362194	-0.402191
1.9198	0.0330607	0.366159	-0.39922
1.91985	0.0261156	0.370034	-0.39615
